act_dem_res_count_max,act_dem_res_count_mean,act_dem_res_count_min,act_dem_res_count_ratio,act_dem_res_count_stddev,act_dem_res_count_variance,act_dem_units_max,act_dem_units_mean,act_dem_units_min,act_dem_units_ratio,act_dem_units_stddev,act_dem_units_variance,act_durations_for_res_max,act_durations_for_res_mean,act_durations_for_res_min,act_durations_for_res_ratio,act_durations_for_res_stddev,act_durations_for_res_variance,act_durations_max,act_durations_mean,act_durations_min,act_durations_ratio,act_durations_stddev,act_durations_variance,acts_per_res_max,acts_per_res_mean,acts_per_res_min,acts_per_res_ratio,acts_per_res_stddev,acts_per_res_variance,avgBranch,avgCap,avgDur,avgResESS,avgResSGSzmax,avgTotalCap,cap_job_ratio,cap_stats_max,cap_stats_mean,cap_stats_min,cap_stats_ratio,cap_stats_stddev,cap_stats_variance,cmax,cmaxBalanced,cmaxSGS,maxCap,minCap,nc,njobs,njobsOCESS,njobsOCSGSzmax,nperiods,nperiodsOCESS,nperiodsOCSGSzmax,nres,numBinaryVars_KopCt1,numBinaryVars_KopDt2,numConstraintsKopCt1,numConstraintsKopDt2,numContinuousVarsKopCt1,numContinuousVarsKopDt2,os,prec_per_act_max,prec_per_act_mean,prec_per_act_min,prec_per_act_ratio,prec_per_act_stddev,prec_per_act_variance,predcount_per_act_max,predcount_per_act_mean,predcount_per_act_min,predcount_per_act_ratio,predcount_per_act_stddev,predcount_per_act_variance,rc,rc0,rc1,rc2,rc3,res_job_ratio,res_util_ratio_max,res_util_ratio_mean,res_util_ratio_min,res_util_ratio_ratio,res_util_ratio_stddev,res_util_ratio_variance,revSlope,revWidth,rf,rs,rs0,rs1,rs2,rs3,succcount_per_act_max,succcount_per_act_mean,succcount_per_act_min,succcount_per_act_ratio,succcount_per_act_stddev,succcount_per_act_variance,tmax,tmin,tminBalanced,tminSGS,total_capacity,best_model
4,1.90625,0,0,0.928383,0.861895,35,10.4688,0,0,8.26569,68.3216,91,80.75,56,0.615385,16.7407,280.25,10,4.5625,0,0,2.97232,8.83468,17,15.25,13,0.764706,1.70783,2.91667,48,22.5,4.5625,19.267,19.267,33.5,2.8125,30,22.5,16,0.533333,7.04746,49.6667,29.5,29.5,29.5,30,16,1.5,32,24,24,147,21,21,4,800,218872,1774,4317,62,1,0.451613,5,3,2,0.4,0.950382,0.903226,3,1.5,0,0,0.879883,0.774194,0.265386,0.175556,0.308824,0.206972,0.370192,0.125,4.94118,3.97638,2.63333,0.532937,1.27286,1.62017,3.6875,8,0.476562,0.705655,0.714286,0.7,0.708333,0.7,3,1.5,0,0,0.803219,0.645161,51,43,43,43,90,1
4,2.84375,0,0,1.167,1.3619,33,16.25,0,0,8.15179,66.4516,130,122.75,117,0.9,5.6199,31.5833,10,4.90625,0,0,3.26624,10.6683,24,22.75,21,0.875,1.5,2.25,48,26.75,4.90625,22.8528,22.6424,39.75,3.34375,33,26.75,23,0.69697,4.5,20.25,194.5,32.5,128,33,23,1.5,32,21,24,158,15,16,4,1192,249031,2406,4861,62,1,0.372984,4,3,2,0.5,0.803219,0.645161,3,1.5,0,0,0.803219,0.645161,0.216788,0.165404,0.215415,0.244048,0.242284,0.125,5.81482,4.91216,3.9697,0.682687,1.22527,1.50128,21.6111,9,0.710938,0.502778,0.511111,0.5,0.5,0.5,3,1.5,0,0,0.842423,0.709677,46,37,45,37,107,1
1,0.9375,0,0,0.245935,0.060484,10,4.875,0,0,3.13924,9.85484,66,41.5,18,0.272727,19.6723,387,10,5.1875,0,0,3.43077,11.7702,12,7.5,5,0.416667,3.10913,9.66667,58,13.25,5.1875,12.0614,12.0614,19.75,1.65625,16,13.25,11,0.6875,2.21736,4.91667,12.5,12.5,12.5,16,11,1.8125,32,11,11,167,13,13,4,252,237528,923,4723,62,1,0.5,5,3.625,2,0.4,0.751343,0.564516,3,1.8125,0,0,0.965117,0.931452,0.370689,0.305556,0.364583,0.363636,0.44898,0.125,4.375,2.79234,1.81818,0.415584,1.62548,2.64218,4.16667,3,0.234375,0.741667,0.75,0.75,0.8,0.666667,3,1.8125,0,0,0.895779,0.802419,57,54,54,54,53,0
3,1.90625,0,0,0.962503,0.926411,22,10.2188,0,0,5.82948,33.9829,104,81.75,72,0.692308,14.9304,222.917,10,5.125,0,0,3.24037,10.5,19,15.25,13,0.684211,2.62996,6.91667,68,17.5,5.125,15.097,15.0803,25.75,2.1875,23,17.5,13,0.565217,4.12311,17,47.5,21,42,23,13,2.125,32,23,21,165,19,18,4,586,237956,1460,4731,62,1,0.612903,6,4.25,3,0.5,0.718421,0.516129,3,2.125,0,0,0.975506,0.951613,0.305574,0.284024,0.329412,0.251716,0.357143,0.125,5,4.60402,3.69231,0.738462,1.07384,1.15313,5.9375,8,0.476562,0.517949,0.5,0.533333,0.5,0.538462,3,2.125,0,0,0.975506,0.951613,58,50,53,50,70,0
4,1.90625,0,0,0.928383,0.861895,31,11.1562,0,0,7.13062,50.8458,97,87.75,71,0.731959,11.8145,139.583,9,5.0625,0,0,2.96145,8.77016,18,15.25,12,0.666667,2.5,6.25,68,13,5.0625,10.5046,10.3067,19.25,1.625,15,13,10,0.666667,2.16025,4.66667,212,49,147.5,15,10,2.125,32,27,28,163,38,40,4,478,242654,1256,4799,62,1,0.604839,6,4.25,2,0.333333,0.842423,0.709677,3,2.125,0,0,0.941858,0.887097,0.442342,0.3875,0.452381,0.416667,0.51282,0.125,8.14286,6.75879,5,0.614035,1.32513,1.75596,5.04762,42,0.476562,0.20119,0.2,0.190476,0.2,0.214286,3,2.125,0,0,0.941858,0.887097,88,46,59,53,52,0
4,3.75,0,0,0.983739,0.967742,32,18.1875,0,0,7.18169,51.5766,154,154,154,1,0,0,10,4.8125,0,0,3.05263,9.31855,30,30,30,1,0,0,48,41,4.8125,36.4065,36.4065,61.25,5.125,46,41,37,0.804348,3.91578,15.3333,0,0,0,46,37,1.5,32,0,0,155,0,0,4,1132,232654,2345,4579,62,1,0.429435,4,3,2,0.5,0.718421,0.516129,3,1.5,0,0,0.762001,0.580645,0.119242,0.119841,0.126496,0.130631,0.1,0.125,3.91892,3.57726,3,0.765517,0.666559,0.444301,0,0,0.9375,1,1,1,1,1,3,1.5,0,0,0.803219,0.645161,47,47,47,47,164,1
4,2.84375,0,0,0.987319,0.974798,35,15.9062,0,0,8.10957,65.7651,139,131.5,125,0.899281,6.245,39,10,5.46875,0,0,3.35996,11.2893,24,22.75,22,0.916667,0.957427,0.916667,68,20.75,5.46875,17.0739,17.0554,31,2.59375,26,20.75,18,0.692308,3.59398,12.9167,138,34.5,131.5,26,18,2.125,32,27,27,176,31,30,4,722,254634,1700,5054,62,1,0.635081,6,4.25,3,0.5,0.672022,0.451613,3,2.125,0,0,0.941858,0.887097,0.271868,0.242563,0.283333,0.253496,0.308081,0.125,6.8,6.18341,5.57692,0.820136,0.977788,0.95607,7.26316,19,0.710938,0.522265,0.529412,0.526316,0.5,0.533333,3,2.125,0,0,0.906962,0.822581,73,54,67,54,83,1
4,2.84375,0,0,1.05063,1.10383,30,15.7812,0,0,7.92601,62.8216,122,110,99,0.811475,9.83192,96.6667,10,4.59375,0,0,2.97147,8.82964,24,22.75,22,0.916667,0.957427,0.916667,68,26.5,4.59375,22.3277,22.3277,39.5,3.3125,28,26.5,25,0.892857,1.73205,3,52.5,40,52.5,28,25,2.125,32,20,20,148,14,14,4,808,213778,1830,4258,62,1,0.586694,6,4.25,3,0.5,0.803219,0.645161,3,2.125,0,0,1.00803,1.01613,0.209712,0.215839,0.188333,0.211039,0.223636,0.125,4.96429,4.76179,4.52,0.910504,0.879634,0.773756,4.375,12,0.710938,0.702103,0.692308,0.714286,0.72,0.681818,3,2.125,0,0,0.975506,0.951613,55,43,43,43,106,1
1,0.9375,0,0,0.245935,0.060484,10,5.375,0,0,2.82557,7.98387,66,39.75,21,0.318182,22.5,506.25,10,4.96875,0,0,3.41235,11.6442,10,7.5,6,0.6,1.91485,3.66667,58,10.75,4.96875,9.60625,9.54531,15.75,1.34375,14,10.75,9,0.642857,2.36291,5.58333,69,16.5,49.5,14,9,1.8125,32,27,26,160,27,26,4,166,252568,777,4938,62,1,0.522177,5,3.625,2,0.4,0.707107,0.5,3,1.8125,0,0,0.895779,0.802419,0.551996,0.472222,0.554545,0.740741,0.440476,0.125,5.54545,4.10263,2.64286,0.476581,1.46659,2.15089,4.05882,17,0.234375,0.174603,0.142857,0.166667,0.166667,0.222222,3,1.8125,0,0,0.931094,0.866935,52,35,41,36,43,0
3,1.90625,0,0,0.856074,0.732863,27,10.1875,0,0,6.13524,37.6411,95,83.25,72,0.757895,9.94569,98.9167,10,5.34375,0,0,3.23897,10.4909,17,15.25,13,0.764706,2.06155,4.25,68,18,5.34375,15.6076,15.6076,26.75,2.25,20,18,16,0.8,1.82574,3.33333,9,9,9,20,16,2.125,32,14,14,172,5,5,4,528,246584,1376,4904,62,1,0.622984,6,4.25,3,0.5,0.803219,0.645161,3,2.125,0,0,0.941858,0.887097,0.302372,0.399038,0.283737,0.282353,0.244361,0.125,5.1875,4.55802,3.42105,0.65948,1.04012,1.08185,1.28571,7,0.476562,0.724405,0.75,0.7,0.714286,0.733333,3,2.125,0,0,0.906962,0.822581,60,53,53,53,72,0
1,0.9375,0,0,0.245935,0.060484,10,5.40625,0,0,3.30063,10.8942,79,45,18,0.227848,30.7354,944.667,10,5.625,0,0,3.27995,10.7581,12,7.5,4,0.333333,3.69685,13.6667,58,14.25,5.625,12.8992,12.8992,21.25,1.78125,20,14.25,10,0.5,4.34933,18.9167,58,32,58,20,10,1.8125,32,24,24,181,29,29,4,276,268692,957,5297,62,1,0.514113,6,3.625,2,0.333333,0.832796,0.693548,3,1.8125,0,0,0.965117,0.931452,0.463588,0.4375,0.225,0.74,0.451852,0.125,4.06667,3.05417,1.75,0.430328,1.44088,2.07613,3.625,16,0.234375,0.655952,0.6,0.52381,1,0.5,3,1.8125,0,0,0.859013,0.737903,69,53,62,53,57,0
4,3.75,0,0,0.983739,0.967742,31,19.5312,0,0,8.09613,65.5474,171,171,171,1,0,0,10,5.34375,0,0,3.34673,11.2006,30,30,30,1,0,0,48,22,5.34375,17.5247,17.3648,32.75,2.75,23,22,20,0.869565,1.41421,2,206,45.5,151,23,20,1.5,32,23,23,172,22,21,4,1156,264091,2381,5171,62,1,0.417339,4,3,2,0.5,0.803219,0.645161,3,1.5,0,0,0.915811,0.83871,0.236593,0.221739,0.268116,0.218182,0.238333,0.125,8.04348,7.09778,6.54545,0.813759,1.03823,1.07793,12.1176,17,0.9375,0.51,0.52,0.52,0.5,0.5,3,1.5,0,0,0.718421,0.516129,61,44,52,52,88,1
1,0.9375,0,0,0.245935,0.060484,10,5.375,0,0,3.0241,9.14516,47,39.5,33,0.702128,6.245,39,10,4.9375,0,0,3.32088,11.0282,11,7.5,5,0.454545,2.51661,6.33333,68,14.25,4.9375,12.8648,12.8648,21,1.78125,16,14.25,13,0.8125,1.5,2.25,8,8,8,16,13,2.125,32,13,13,159,7,7,4,144,211302,763,4267,62,1,0.663306,6,4.25,3,0.5,0.762001,0.580645,3,2.125,0,0,0.906962,0.822581,0.408242,0.405594,0.453333,0.318681,0.455357,0.125,4.46154,3.03662,2.23077,0.5,1.01302,1.0262,2,4,0.234375,0.729167,0.666667,0.75,0.75,0.75,3,2.125,0,0,0.906962,0.822581,63,59,59,59,57,0
1,0.9375,0,0,0.245935,0.060484,10,4.6875,0,0,3.22728,10.4153,47,40.75,34,0.723404,6.23832,38.9167,10,5.09375,0,0,3.55926,12.6683,8,7.5,6,0.75,1,1,48,14,5.09375,12.7332,12.7332,20.75,1.75,18,14,11,0.611111,3.16228,10,5.5,5.5,5.5,18,11,1.5,32,14,14,164,6,6,4,248,237011,921,4691,62,1,0.455645,4,3,2,0.5,0.879883,0.774194,3,1.5,0,0,0.879883,0.774194,0.361469,0.4,0.272727,0.458333,0.314815,0.125,3.66667,2.73434,1.88889,0.515152,1.10881,1.22945,5.5,1,0.234375,0.714556,0.714286,0.75,0.666667,0.727273,3,1.5,0,0,0.803219,0.645161,54,53,53,53,56,0
4,1.90625,0,0,0.892961,0.797379,28,10.5312,0,0,5.58792,31.2248,97,94.75,92,0.948454,2.62996,6.91667,10,5.53125,0,0,3.21272,10.3216,17,15.25,14,0.823529,1.25831,1.58333,68,24.5,5.53125,21.4958,21.4958,36.5,3.0625,28,24.5,18,0.642857,4.50925,20.3333,0,0,0,28,18,2.125,32,0,0,178,0,0,4,580,237980,1458,4790,62,1,0.633065,6,4.25,3,0.5,0.842423,0.709677,3,2.125,0,0,0.975506,0.951613,0.230944,0.300654,0.207407,0.194286,0.221429,0.125,5.11111,3.56591,2.72,0.532174,1.31011,1.7164,0,0,0.476562,1,1,1,1,1,3,2.125,0,0,0.941858,0.887097,65,65,65,65,98,1
1,0.9375,0,0,0.245935,0.060484,10,4.53125,0,0,2.9291,8.57964,58,41,23,0.396552,14.3527,206,10,5.125,0,0,2.91548,8.5,9,7.5,4,0.444444,2.38048,5.66667,68,12.25,5.125,11.1636,11.1636,18,1.53125,15,12.25,10,0.666667,2.21736,4.91667,9.5,7.5,9.5,15,10,2.125,32,15,15,165,7,7,4,196,239786,843,4761,62,1,0.590726,6,4.25,3,0.5,0.762001,0.580645,3,2.125,0,0,0.975506,0.951613,0.438396,0.3875,0.350427,0.311111,0.704545,0.125,3.15385,2.96801,2.8,0.887805,0.790806,0.625374,9.5,1,0.234375,0.661364,1,0.6,0.545455,0.5,3,2.125,0,0,1.00803,1.01613,48,47,47,47,49,1
4,2.84375,0,0,1.13903,1.29738,27,13.9375,0,0,6.2162,38.6411,138,129,112,0.811594,11.5758,134,10,5.40625,0,0,2.98231,8.89415,24,22.75,21,0.875,1.25831,1.58333,58,13.25,5.40625,10.375,9.94971,19.75,1.65625,14,13.25,12,0.857143,0.957427,0.916667,260.5,38.5,112.5,14,12,1.8125,32,29,30,174,41,48,4,692,249938,1576,4958,62,1,0.556452,5,3.625,2,0.4,0.751343,0.564516,3,1.8125,0,0,0.859013,0.737903,0.368384,0.391156,0.311594,0.392857,0.377926,0.125,9.42857,8.37546,7.16667,0.760101,0.924459,0.854625,5.00962,52,0.710938,0.195504,0.190476,0.181818,0.222222,0.1875,3,1.8125,0,0,0.895779,0.802419,102,50,84,68,53,0
3,1.90625,0,0,0.817525,0.668347,19,10.1875,0,0,4.9802,24.8024,93,75.5,56,0.602151,18.2665,333.667,10,5,0,0,3.43605,11.8065,17,15.25,13,0.764706,2.06155,4.25,58,15.75,5,13.2034,13.2034,23.5,1.96875,21,15.75,10,0.47619,4.5,20.25,19,19,19,21,10,1.8125,32,16,16,161,13,13,4,620,221244,1500,4429,62,1,0.548387,5,3.625,2,0.4,0.751343,0.564516,3,1.8125,0,0,0.965117,0.931452,0.343856,0.334559,0.384615,0.370536,0.285714,0.125,5.6875,5.18304,4.85714,0.854003,0.707126,0.500027,1.46154,13,0.476562,0.65,0.666667,0.5,0.7,0.733333,3,1.8125,0,0,0.965117,0.931452,71,58,58,58,63,1
4,1.90625,0,0,0.995453,0.990927,31,11.3438,0,0,7.37305,54.3619,123,87,59,0.479675,26.5832,706.667,10,5.4375,0,0,3.24224,10.5121,21,15.25,12,0.571429,4.03113,16.25,48,13.5,5.4375,10.9186,10.7071,20,1.6875,14,13.5,13,0.928571,0.57735,0.333333,171,54,97,14,13,1.5,32,27,25,175,38,36,4,718,263571,1576,5176,62,1,0.419355,4,3,2,0.5,0.803219,0.645161,3,1.5,0,0,0.803219,0.645161,0.447102,0.419048,0.474359,0.397959,0.497041,0.125,8.35714,6.69918,5.69231,0.681131,1.36101,1.85234,7.43478,23,0.476562,0.219451,0.210526,0.230769,0.222222,0.214286,3,1.5,0,0,0.842423,0.709677,76,53,58,57,54,0
1,0.9375,0,0,0.245935,0.060484,10,5.71875,0,0,3.10291,9.62802,57,46.25,33,0.578947,11.2361,126.25,10,5.78125,0,0,3.14934,9.91835,9,7.5,6,0.666667,1.73205,3,68,10.75,5.78125,9.52688,9.43145,15.75,1.34375,13,10.75,7,0.538462,2.62996,6.91667,82.5,32.5,47,13,7,2.125,32,27,27,186,38,34,4,122,269879,713,5349,62,1,0.600806,6,4.25,3,0.5,0.718421,0.516129,3,2.125,0,0,0.975506,0.951613,0.554268,0.606061,0.57265,0.547619,0.490741,0.125,5.15385,4.12315,3.28571,0.637527,1.04991,1.10232,3.17308,26,0.234375,0.171627,0.25,0.214286,0,0.222222,3,2.125,0,0,0.975506,0.951613,81,55,58,56,43,0
4,3.75,0,0,0.983739,0.967742,32,18.8125,0,0,6.64024,44.0927,166,166,166,1,0,0,10,5.1875,0,0,3.37388,11.3831,30,30,30,1,0,0,48,16.5,5.1875,12.6392,11.9731,24.25,2.0625,17,16.5,15,0.882353,1,1,385.5,38,163,17,15,1.5,32,25,26,167,36,46,4,996,248691,2069,4896,62,1,0.425403,4,3,2,0.5,0.803219,0.645161,3,1.5,0,0,0.762001,0.580645,0.304902,0.276471,0.333333,0.292157,0.317647,0.125,10,9.14706,8.29412,0.829412,1.06154,1.12687,8.38043,46,0.9375,0.204501,0.212121,0.2,0.205882,0.2,3,1.5,0,0,0.842423,0.709677,97,51,76,65,66,0
4,1.90625,0,0,0.995453,0.990927,30,10.0312,0,0,7.34181,53.9022,97,77.5,63,0.649485,14.7535,217.667,10,4.5625,0,0,2.92859,8.57661,18,15.25,12,0.666667,3.20156,10.25,58,18.5,4.5625,15.8316,15.7398,27.5,2.3125,24,18.5,12,0.5,4.93288,24.3333,48,8,21,24,12,1.8125,32,11,10,147,8,6,4,632,213992,1530,4247,62,1,0.560484,5,3.625,2,0.4,0.707107,0.5,3,1.8125,0,0,0.895779,0.802419,0.296207,0.365385,0.236111,0.254386,0.328947,0.125,4.75,4.38158,3.94737,0.831025,0.884226,0.781856,3.2,15,0.476562,0.54902,0.666667,0.5,0.529412,0.5,3,1.8125,0,0,0.859013,0.737903,57,42,44,44,74,1
3,1.90625,0,0,0.856074,0.732863,20,9.96875,0,0,5.41494,29.3216,100,76.25,57,0.57,18.6436,347.583,10,4.84375,0,0,2.71328,7.3619,20,15.25,10,0.5,4.272,18.25,58,12.75,4.84375,10.5529,10.3045,18.75,1.59375,15,12.75,11,0.733333,2.06155,4.25,152,41,74.5,15,11,1.8125,32,24,24,156,24,28,4,624,234941,1466,4631,62,1,0.532258,5,3.625,2,0.4,0.870669,0.758065,3,1.8125,0,0,0.931094,0.866935,0.424894,0.445378,0.286667,0.467532,0.5,0.125,7.57143,6.21255,5,0.660377,1.09633,1.20194,5.62963,27,0.476562,0.19127,0.222222,0.2,0.142857,0.2,3,1.8125,0,0,0.931094,0.866935,70,43,57,45,51,0
